2018-09-02 16:40:44:990  消息→控制卡：操作码[da] 数据[55-AA-00-00-01-00-00-DB-00-00-39-00-00-00-00-00-39-00-00-00-01-01-38-00-00-00-01-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-01-20-00-00-00-0E-00-00-00-00-3F-00-0F-00-01-00-00-01-FF-0A-05-10-06-00-00-00-B0-A1-B0-A1-B0-A1-00-00-0D-0A]
2018-09-02 16:40:45:024  控制卡→消息(实际)：操作码[da] 数据[55-AA-00-00-01-00-00-DB-00-00-00-00-00-00-00-00-0D-0A]
2018-09-02 16:40:45:024  控制卡→消息(理论)：操作码[da] 数据[55-AA-00-00-01-00-00-DA-00-00-00-00-00-00-00-00-0D-0A]
2018-09-02 16:40:45:024  发送结果：失败 实际!=理论
2018-09-02 16:41:13:612  消息→控制卡：操作码[da] 数据[55-AA-00-00-01-00-00-DA-00-00-39-00-00-00-00-00-39-00-00-00-01-01-38-00-00-00-01-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-01-20-00-00-00-0E-00-00-00-00-3F-00-0F-00-01-00-00-01-FF-0A-05-10-06-00-00-00-B0-A1-B0-A1-B0-A1-00-00-0D-0A]
2018-09-02 16:41:13:768  控制卡→消息(实际)：操作码[da] 数据[55-AA-00-00-01-00-00-DA-00-00-00-00-00-00-00-00-0D-0A]
2018-09-02 16:41:13:768  控制卡→消息(理论)：操作码[da] 数据[55-AA-00-00-01-00-00-DA-00-00-00-00-00-00-00-00-0D-0A]
2018-09-02 16:41:13:768  发送结果：成功 实际=理论
2018-09-02 16:41:18:528  消息→控制卡：操作码[db] 数据[55-AA-00-00-01-00-00-DB-00-00-39-00-00-00-00-00-39-00-00-00-01-01-38-00-00-00-01-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-01-20-00-00-00-2D-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-01-06-00-00-00-B0-A1-B0-A1-B0-A1-00-00-0D-0A]
2018-09-02 16:41:18:528  控制卡→消息(实际)：操作码[db] 数据[55-AA-00-00-01-00-00-DB-00-00-00-00-00-00-00-00-0D-0A]
2018-09-02 16:41:18:528  控制卡→消息(理论)：操作码[db] 数据[55-AA-00-00-01-00-00-DB-00-00-00-00-00-00-00-00-0D-0A]
2018-09-02 16:41:18:528  发送结果：成功 实际=理论
2018-09-02 16:41:58:131  消息→控制卡：操作码[dc] 数据[55-AA-00-00-01-00-00-DC-00-00-03-00-00-00-00-00-03-00-00-00-01-00-00-00-00-0D-0A]
2018-09-02 16:41:58:147  控制卡→消息(实际)：操作码[dc] 数据[55-AA-00-00-01-00-00-DC-00-00-00-00-00-00-00-00-0D-0A]
2018-09-02 16:41:58:147  控制卡→消息(理论)：操作码[dc] 数据[55-AA-00-00-01-00-00-DC-00-00-00-00-00-00-00-00-0D-0A]
2018-09-02 16:41:58:147  发送结果：成功 实际=理论
2018-09-02 16:42:02:797  消息→控制卡：操作码[da] 数据[55-AA-00-00-01-00-00-DB-00-00-3D-00-00-00-00-00-3D-00-00-00-01-01-3C-00-00-00-01-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-01-24-00-00-00-0E-00-00-00-00-3F-00-0F-00-01-00-00-01-FF-0A-0F-10-0A-00-00-00-BB-E1-BB-E1-BE-A1-BF-EC-B9-FE-00-00-0D-0A]
2018-09-02 16:42:02:813  控制卡→消息(实际)：操作码[da] 数据[55-AA-00-00-01-00-00-DB-00-00-00-00-00-00-00-00-0D-0A]
2018-09-02 16:42:02:813  控制卡→消息(理论)：操作码[da] 数据[55-AA-00-00-01-00-00-DA-00-00-00-00-00-00-00-00-0D-0A]
2018-09-02 16:42:02:813  发送结果：失败 实际!=理论
2018-09-02 16:42:07:452  消息→控制卡：操作码[db] 数据[55-AA-00-00-01-00-00-DB-00-00-39-00-00-00-00-00-39-00-00-00-01-01-38-00-00-00-01-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-01-20-00-00-00-2D-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-01-06-00-00-00-B0-A1-B0-A1-B0-A1-00-00-0D-0A]
2018-09-02 16:42:07:468  控制卡→消息(实际)：操作码[db] 数据[55-AA-00-00-01-00-00-DB-00-00-00-00-00-00-00-00-0D-0A]
2018-09-02 16:42:07:468  控制卡→消息(理论)：操作码[db] 数据[55-AA-00-00-01-00-00-DB-00-00-00-00-00-00-00-00-0D-0A]
2018-09-02 16:42:07:468  发送结果：成功 实际=理论
2018-09-02 16:42:12:030  消息→控制卡：操作码[dc] 数据[55-AA-00-00-01-00-00-DC-00-00-03-00-00-00-00-00-03-00-00-00-01-00-00-00-00-0D-0A]
2018-09-02 16:42:12:045  控制卡→消息(实际)：操作码[dc] 数据[55-AA-00-00-01-00-00-DC-00-00-00-00-00-00-00-00-0D-0A]
2018-09-02 16:42:12:045  控制卡→消息(理论)：操作码[dc] 数据[55-AA-00-00-01-00-00-DC-00-00-00-00-00-00-00-00-0D-0A]
2018-09-02 16:42:12:045  发送结果：成功 实际=理论
2018-09-02 16:42:13:251  消息→控制卡：操作码[da] 数据[55-AA-00-00-01-00-00-DB-00-00-3D-00-00-00-00-00-3D-00-00-00-01-01-3C-00-00-00-01-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-01-24-00-00-00-0E-00-00-00-00-3F-00-0F-00-01-00-00-01-FF-0A-0F-10-0A-00-00-00-BB-E1-BB-E1-BE-A1-BF-EC-B9-FE-00-00-0D-0A]
2018-09-02 16:42:13:266  控制卡→消息(实际)：操作码[da] 数据[55-AA-00-00-01-00-00-DB-00-00-00-00-00-00-00-00-0D-0A]
2018-09-02 16:42:13:266  控制卡→消息(理论)：操作码[da] 数据[55-AA-00-00-01-00-00-DA-00-00-00-00-00-00-00-00-0D-0A]
2018-09-02 16:42:13:266  发送结果：失败 实际!=理论
2018-09-02 16:42:16:584  消息→控制卡：操作码[db] 数据[55-AA-00-00-01-00-00-DB-00-00-39-00-00-00-00-00-39-00-00-00-01-01-38-00-00-00-01-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-01-20-00-00-00-2D-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-01-06-00-00-00-B0-A1-B0-A1-B0-A1-00-00-0D-0A]
2018-09-02 16:42:16:600  控制卡→消息(实际)：操作码[db] 数据[55-AA-00-00-01-00-00-DB-00-00-00-00-00-00-00-00-0D-0A]
2018-09-02 16:42:16:600  控制卡→消息(理论)：操作码[db] 数据[55-AA-00-00-01-00-00-DB-00-00-00-00-00-00-00-00-0D-0A]
2018-09-02 16:42:16:600  发送结果：成功 实际=理论
